dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Base (80/20),DP,True,2,retention_s0,79.840000000000003,2.1256528408938253,5
Base,Base (80/20),DP,True,2,retention_s1,74.439999999999998,2.5842600488340977,5
Base,Base (80/20),DP,True,2,unfairness,0.0064236394942541516,0.00044828890426374182,5
Base,Base (80/20),DP,True,3,approval_rate_difference,6.027861413709636,4.5739615836982903,5
Base,Base (80/20),DP,True,3,retention_disparity,8.2799999999999976,3.5363257768480603,5
Base,Base (80/20),DP,True,3,retention_s0,62.079999999999998,1.7325126262166193,5
Base,Base (80/20),DP,True,3,retention_s1,53.799999999999997,1.9718012070186008,5
Base,Base (80/20),DP,True,3,unfairness,0.006450592571309843,0.00053619949315056217,5
Base,Base (80/20),DP,True,4,approval_rate_difference,1.7823319746738009,3.4378569209949297,5
Base,Base (80/20),DP,True,4,retention_disparity,10.760000000000002,2.2357101779971402,5
Base,Base (80/20),DP,True,4,retention_s0,50.079999999999998,0.48332183894378206,5
Base,Base (80/20),DP,True,4,retention_s1,39.32,2.2789471253190579,5
Base,Base (80/20),DP,True,4,unfairness,0.0057597524760997663,0.00043252943287494462,5
Base,Base (80/20),DP,True,5,approval_rate_difference,5.4527133432881403,2.3418628490017239,5
Base,Base (80/20),DP,True,5,retention_disparity,9.3200000000000021,2.5848791074245634,5
Base,Base (80/20),DP,True,5,retention_s0,39.799999999999997,0.97979589711327064,5
Base,Base (80/20),DP,True,5,retention_s1,30.48,2.5910615585122647,5
Base,Base (80/20),DP,True,5,unfairness,0.006076166508976133,0.00049732614114940995,5
Base,Base (80/20),EO,False,1,approval_rate_difference,0.76000000000000068,3.6560087527247558,5
Base,Base (80/20),EO,False,1,retention_disparity,0,0,5
Base,Base (80/20),EO,False,1,retention_s0,100,0,5
Base,Base (80/20),EO,False,1,retention_s1,100,0,5
Base,Base (80/20),EO,False,1,unfairness,0.006424033030848042,0,5
Base,Base (80/20),EO,False,2,approval_rate_difference,1.5600000000000014,3.262882161525301,5
Base,Base (80/20),EO,False,2,retention_disparity,0,0,5
Base,Base (80/20),EO,False,2,retention_s0,100,0,5
Base,Base (80/20),EO,False,2,retention_s1,100,0,5
Base,Base (80/20),EO,False,2,unfairness,0.0063606995369079877,0.00043445513962995618,5
Base,Base (80/20),EO,False,3,approval_rate_difference,3.5999999999999988,3.7137582042992499,5
Base,Base (80/20),EO,False,3,retention_disparity,0,0,5
Base,Base (80/20),EO,False,3,retention_s0,100,0,5
Base,Base (80/20),EO,False,3,retention_s1,100,0,5
Base,Base (80/20),EO,False,3,unfairness,0.0062366084464614115,0.0006411239542689133,5
Base,Base (80/20),EO,False,4,approval_rate_difference,-0.11999999999999993,4.2794392155982344,5
Base,Base (80/20),EO,False,4,retention_disparity,0,0,5
Base,Base (80/20),EO,False,4,retention_s0,100,0,5
Base,Base (80/20),EO,False,4,retention_s1,100,0,5
Base,Base (80/20),EO,False,4,unfairness,0.0056505205854513905,0.00052436052283729936,5
Base,Base (80/20),EO,False,5,approval_rate_difference,1.7999999999999994,3.1368774282716236,5
Base,Base (80/20),EO,False,5,retention_disparity,0,0,5
Base,Base (80/20),EO,False,5,retention_s0,100,0,5
Base,Base (80/20),EO,False,5,retention_s1,100,0,5
Base,Base (80/20),EO,False,5,unfairness,0.0061669355444847309,0.00076049006319705637,5
Base,Base (80/20),EO,True,1,approval_rate_difference,0.76000000000000068,3.6560087527247558,5
Base,Base (80/20),EO,True,1,retention_disparity,0,0,5
Base,Base (80/20),EO,True,1,retention_s0,100,0,5
Base,Base (80/20),EO,True,1,retention_s1,100,0,5
Base,Base (80/20),EO,True,1,unfairness,0.006424033030848042,0,5
Base,Base (80/20),EO,True,2,approval_rate_difference,1.4070064855650077,2.4559214422997862,5
Base,Base (80/20),EO,True,2,retention_disparity,4.4800000000000066,2.3919866220361654,5
Base,Base (80/20),EO,True,2,retention_s0,78,3.0331501776206231,5
Base,Base (80/20),EO,True,2,retention_s1,76.159999999999997,2.3711600536446307,5
Base,Base (80/20),EO,True,2,unfairness,0.0063606995369079877,0.00043445513962995618,5
Base,Base (80/20),EO,True,3,approval_rate_difference,3.8987894070566265,3.8150465715816235,5
Base,Base (80/20),EO,True,3,retention_disparity,5.1999999999999975,2.5518620652378496,5
Base,Base (80/20),EO,True,3,retention_s0,59.399999999999999,2.6046112953759515,5
Base,Base (80/20),EO,True,3,retention_s1,56.279999999999994,2.3684594148939913,5
Base,Base (80/20),EO,True,3,unfairness,0.0063990187485811088,0.00054969347505201961,5
Base,Base (80/20),EO,True,4,approval_rate_difference,0.4461826783159159,3.7245301856748054,5
Base,Base (80/20),EO,True,4,retention_disparity,5.6000000000000014,2.1466252583997942,5
Base,Base (80/20),EO,True,4,retention_s0,47.439999999999998,1.1482160075525856,5
Base,Base (80/20),EO,True,4,retention_s1,41.839999999999996,1.698940846527623,5
Base,Base (80/20),EO,True,4,unfairness,0.0056959843432739191,0.00039392847059636644,5
Base,Base (80/20),EO,True,5,approval_rate_difference,3.6115266971605053,1.608910117461438,5
Base,Base (80/20),EO,True,5,retention_disparity,4.8000000000000025,2.5953805116013338,5
Base,Base (80/20),EO,True,5,retention_s0,37.439999999999998,1.6463292501805367,5
Base,Base (80/20),EO,True,5,retention_s1,32.640000000000001,2.2032702966272657,5
Base,Base (80/20),EO,True,5,unfairness,0.0060204170190762078,0.00041170184735518146,5
Base,Base (80/20),LCF-active,False,1,approval_rate_difference,13.680000000000001,3.1256359352938095,5
Base,Base (80/20),LCF-active,False,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,1,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,1,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,1,unfairness,0.0043418407440185547,0,5
Base,Base (80/20),LCF-active,False,2,approval_rate_difference,13,1.0507140429250972,5
Base,Base (80/20),LCF-active,False,2,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,2,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,2,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,2,unfairness,0.0043019703930079704,0.00022340309207365903,5
Base,Base (80/20),LCF-active,False,3,approval_rate_difference,14.040000000000001,4.2301773012487338,5
Base,Base (80/20),LCF-active,False,3,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,3,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,3,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,3,unfairness,0.0042556248913932391,0.00039917806841484923,5
Base,Base (80/20),LCF-active,False,4,approval_rate_difference,12,3.6110940170535604,5
Base,Base (80/20),LCF-active,False,4,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,4,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,4,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,4,unfairness,0.0038993244656664095,0.0002545680173431877,5
Base,Base (80/20),LCF-active,False,5,approval_rate_difference,14.880000000000001,3.0029319006597563,5
Base,Base (80/20),LCF-active,False,5,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,False,5,retention_s0,100,0,5
Base,Base (80/20),LCF-active,False,5,retention_s1,100,0,5
Base,Base (80/20),LCF-active,False,5,unfairness,0.0042594653335370717,0.0004447155711693265,5
Base,Base (80/20),LCF-active,True,1,approval_rate_difference,13.680000000000001,3.1256359352938095,5
Base,Base (80/20),LCF-active,True,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-active,True,1,retention_s0,100,0,5
Base,Base (80/20),LCF-active,True,1,retention_s1,100,0,5
Base,Base (80/20),LCF-active,True,1,unfairness,0.0043418407440185547,0,5
Base,Base (80/20),LCF-active,True,2,approval_rate_difference,13.25648834660522,1.9336792587273888,5
Base,Base (80/20),LCF-active,True,2,retention_disparity,18.48,4.025121116190169,5
Base,Base (80/20),LCF-active,True,2,retention_s0,81.079999999999998,2.7176460402340812,5
Base,Base (80/20),LCF-active,True,2,retention_s1,62.600000000000001,2.172556098240046,5
Base,Base (80/20),LCF-active,True,2,unfairness,0.0043019703930079704,0.00022340309207365903,5
Base,Base (80/20),LCF-active,True,3,approval_rate_difference,13.598839122264962,4.2363815313221416,5
Base,Base (80/20),LCF-active,True,3,retention_disparity,22.879999999999999,3.1989998437011549,5
Base,Base (80/20),LCF-active,True,3,retention_s0,61.479999999999997,1.9082976707002524,5
Base,Base (80/20),LCF-active,True,3,retention_s1,38.600000000000001,1.6733200530681522,5
Base,Base (80/20),LCF-active,True,3,unfairness,0.0043494067493419887,0.00037265916378711561,5
Base,Base (80/20),LCF-active,True,4,approval_rate_difference,11.985947548341523,2.209953899728148,5
Base,Base (80/20),LCF-active,True,4,retention_disparity,23.640000000000001,0.66211781428987404,5
Base,Base (80/20),LCF-active,True,4,retention_s0,48.719999999999999,1.0400000000000009,5
Base,Base (80/20),LCF-active,True,4,retention_s1,25.080000000000002,1.3775340286178051,5
Base,Base (80/20),LCF-active,True,4,unfairness,0.0038508475441588084,0.0001962740285557491,5
Base,Base (80/20),LCF-active,True,5,approval_rate_difference,17.735496317448902,5.8496223143496664,5
Base,Base (80/20),LCF-active,True,5,retention_disparity,21.960000000000001,1.2799999999999998,5
Base,Base (80/20),LCF-active,True,5,retention_s0,38.920000000000002,1.6761861471805559,5
Base,Base (80/20),LCF-active,True,5,retention_s1,16.960000000000001,0.73102667529988252,5
Base,Base (80/20),LCF-active,True,5,unfairness,0.0040070370828267036,0.00028570507093358445,5
Base,Base (80/20),LCF-original,False,1,approval_rate_difference,13.199999999999999,2.6412118430750691,5
Base,Base (80/20),LCF-original,False,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-original,False,1,retention_s0,100,0,5
Base,Base (80/20),LCF-original,False,1,retention_s1,100,0,5
Base,Base (80/20),LCF-original,False,1,unfairness,0.0044450759887695312,0,5
Base,Base (80/20),LCF-original,False,2,approval_rate_difference,12.559999999999999,0.68585712797928977,5
Base,Base (80/20),LCF-original,False,2,retention_disparity,0,0,5
Base,Base (80/20),LCF-original,False,2,retention_s0,100,0,5
Base,Base (80/20),LCF-original,False,2,retention_s1,100,0,5
Base,Base (80/20),LCF-original,False,2,unfairness,0.0045019069509727224,0.00023937104950061213,5
Base,Base (80/20),LCF-original,False,3,approval_rate_difference,13.479999999999999,3.8002105204843608,5
Base,Base (80/20),LCF-original,False,3,retention_disparity,0,0,5
Base,Base (80/20),LCF-original,False,3,retention_s0,100,0,5
Base,Base (80/20),LCF-original,False,3,retention_s1,100,0,5
Base,Base (80/20),LCF-original,False,3,unfairness,0.0044044922611876647,0.00039267050145678318,5
Base,Base (80/20),LCF-original,False,4,approval_rate_difference,11.32,4.3755685344878321,5
Base,Base (80/20),LCF-original,False,4,retention_disparity,0,0,5
Base,Base (80/20),LCF-original,False,4,retention_s0,100,0,5
Base,Base (80/20),LCF-original,False,4,retention_s1,100,0,5
Base,Base (80/20),LCF-original,False,4,unfairness,0.0042964348687961392,0.00035027935161068658,5
Base,Base (80/20),LCF-original,False,5,approval_rate_difference,14.679999999999998,2.679104327942456,5
Base,Base (80/20),LCF-original,False,5,retention_disparity,0,0,5
Base,Base (80/20),LCF-original,False,5,retention_s0,100,0,5
Base,Base (80/20),LCF-original,False,5,retention_s1,100,0,5
Base,Base (80/20),LCF-original,False,5,unfairness,0.0045865271912690631,0.00052445112041423836,5
Base,Base (80/20),LCF-original,True,1,approval_rate_difference,13.199999999999999,2.6412118430750691,5
Base,Base (80/20),LCF-original,True,1,retention_disparity,0,0,5
Base,Base (80/20),LCF-original,True,1,retention_s0,100,0,5
Base,Base (80/20),LCF-original,True,1,retention_s1,100,0,5
Base,Base (80/20),LCF-original,True,1,unfairness,0.0044450759887695312,0,5
Base,Base (80/20),LCF-original,True,2,approval_rate_difference,12.052911343797515,2.7090154412948304,5
Base,Base (80/20),LCF-original,True,2,retention_disparity,18.279999999999994,4.0784310708898843,5
Base,Base (80/20),LCF-original,True,2,retention_s0,79.959999999999994,2.8883213117657114,5
Base,Base (80/20),LCF-original,True,2,retention_s1,61.679999999999993,2.3549097647256052,5
Base,Base (80/20),LCF-original,True,2,unfairness,0.0045019069509727224,0.00023937104950061213,5
Base,Base (80/20),LCF-original,True,3,approval_rate_difference,13.5777618395721,4.3453407679953555,5
Base,Base (80/20),LCF-original,True,3,retention_disparity,21.439999999999994,3.2209315422715861,5
Base,Base (80/20),LCF-original,True,3,retention_s0,59.079999999999998,1.8400000000000007,5
Base,Base (80/20),LCF-original,True,3,retention_s1,37.640000000000001,1.7861690849412915,5
Base,Base (80/20),LCF-original,True,3,unfairness,0.0045075041118404881,0.00035110399853637085,5
Base,Base (80/20),LCF-original,True,4,approval_rate_difference,13.469874220314761,4.1238100553308445,5
Base,Base (80/20),LCF-original,True,4,retention_disparity,22.359999999999999,1.5615377036754519,5
Base,Base (80/20),LCF-original,True,4,retention_s0,46.359999999999999,1.4221111067704924,5
Base,Base (80/20),LCF-original,True,4,retention_s1,24,1.2649110640673522,5
Base,Base (80/20),LCF-original,True,4,unfairness,0.0042450678760086232,0.00024373098248443354,5
Base,Base (80/20),LCF-original,True,5,approval_rate_difference,16.385782368995358,5.7842666663739939,5
Base,Base (80/20),LCF-original,True,5,retention_disparity,20.920000000000002,2.2003636063160115,5
Base,Base (80/20),LCF-original,True,5,retention_s0,36.320000000000007,1.994392137970866,5
Base,Base (80/20),LCF-original,True,5,retention_s1,15.4,0.8485281374238578,5
Base,Base (80/20),LCF-original,True,5,unfairness,0.0042822015846333272,0.00030132815714672842,5
Base,Erdős–Rényi,Baseline,False,1,approval_rate_difference,3.7199999999999989,3.243701589234127,5
Base,Erdős–Rényi,Baseline,False,1,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,1,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,1,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,1,unfairness,0.0062788929026658113,0,5
Base,Erdős–Rényi,Baseline,False,2,approval_rate_difference,4.0400000000000009,3.0968370961353444,5
Base,Erdős–Rényi,Baseline,False,2,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,2,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,2,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,2,unfairness,0.0062504111905139492,0.00042936953724440752,5
Base,Erdős–Rényi,Baseline,False,3,approval_rate_difference,5.5999999999999996,3.7672270969507515,5
Base,Erdős–Rényi,Baseline,False,3,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,3,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,3,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,3,unfairness,0.0061193182975701529,0.00063392489005102324,5
Base,Erdős–Rényi,Baseline,False,4,approval_rate_difference,2.0400000000000018,4.0937024806402373,5
Base,Erdős–Rényi,Baseline,False,4,retention_disparity,0,0,5
Base,Erdős–Rényi,Baseline,False,4,retention_s0,100,0,5
Base,Erdős–Rényi,Baseline,False,4,retention_s1,100,0,5
Base,Erdős–Rényi,Baseline,False,4,unfairness,0.0056182110488127487,0.00055238998188986913,5
