run_id,dataset,model,opt_out,seed,graph_seed,source,step,group,metric,statistic,value,unit,steps,enforce_demographic_mixing,k_same,k_other,directed,decision_coef,repayment_coef,eps,base_s0,base_s1,test_n,test_initialization_seed,n_seeds,seeds,std_ddof,network,training_network,evaluation_network,n_valid_seeds,fairness_denominator_clip,decision_policy,fairness_policy
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,2,all,long_fairness,value,0.0069798075743359167,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,3,all,accuracy,value,0.58599999999999997,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,3,all,short_fairness,value,0.027110611731573031,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,3,all,long_fairness,value,0.0060174303048567968,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,4,all,accuracy,value,0.56399999999999995,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,4,all,short_fairness,value,0.02710554630978923,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,4,all,long_fairness,value,0.0061190179672160339,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,5,all,accuracy,value,0.54600000000000004,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,5,all,short_fairness,value,0.027114547254861732,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,7,7,diagnostic_probability_policy_repayment_labels,5,all,long_fairness,value,0.0062322281681969072,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,1,all,accuracy,value,0.66100000000000003,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,1,all,short_fairness,value,0.027117587361472295,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,1,all,long_fairness,value,0.0064928992551834819,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,2,all,accuracy,value,0.624,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,2,all,short_fairness,value,0.027129913664283745,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,2,all,long_fairness,value,0.0063125274052893143,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,3,all,accuracy,value,0.57599999999999996,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,3,all,short_fairness,value,0.027102726870858573,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,3,all,long_fairness,value,0.0072841222506445646,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,4,all,accuracy,value,0.54400000000000004,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,4,all,short_fairness,value,0.027122823453097689,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,4,all,long_fairness,value,0.0062236010659040275,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,5,all,accuracy,value,0.52600000000000002,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,5,all,short_fairness,value,0.02710491334674725,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,13,13,diagnostic_probability_policy_repayment_labels,5,all,long_fairness,value,0.0068471402868777176,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,1,all,accuracy,value,0.66100000000000003,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,1,all,short_fairness,value,0.027117587361472295,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,1,all,long_fairness,value,0.0064928992551834819,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,2,all,accuracy,value,0.61599999999999999,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,2,all,short_fairness,value,0.027108139490710226,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,2,all,long_fairness,value,0.0066859815710779147,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,3,all,accuracy,value,0.60199999999999998,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,3,all,short_fairness,value,0.027094562998170146,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,3,all,long_fairness,value,0.0069066312057793899,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,4,all,accuracy,value,0.57799999999999996,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
20260917T170632_004886Z_9d3261,Base,Baseline,True,42,42,diagnostic_probability_policy_repayment_labels,4,all,short_fairness,value,0.027128579798436081,fraction,5,True,8,2,False,1,0.80000000000000004,0.5,0,0,1000,2027,,,,,,,,0.050000000000000003,Bernoulli(model_probability),model_probability
