dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Base (80/20),EO,Base (80/20),Base (80/20),99,99,False,5,0.0051003005756959929,100,100,0,1.2000000000000011,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),99,99,True,5,0.0052672943235574365,39,29.799999999999997,9.2000000000000028,6.7768026157287835,6.0500000000000007
Base,Base (80/20),DP,Base (80/20),Base (80/20),99,99,False,5,0.0051267547529755264,100,100,0,4.2000000000000037,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.006151752028415336,36.799999999999997,32.200000000000003,4.5999999999999943,4.503105590062118,8.2500000000000018
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.0068238523371839666,100,100,0,3.6000000000000032,0
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0045545961715421912,36.399999999999999,12.6,23.799999999999997,9.0354090354090424,26.549999999999997
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.0052987670401795084,100,100,0,13.600000000000001,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0029763649753452581,39.200000000000003,13.4,25.800000000000004,14.011574779165404,26.300000000000004
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.0033865196045116397,100,100,0,14.600000000000001,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.005945512295925659,35.199999999999996,32.800000000000004,2.3999999999999915,4.1990022172949004,5.9999999999999982
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.0066836473683733466,100,100,0,0.60000000000000053,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0061281347538928443,36.799999999999997,32.200000000000003,4.5999999999999943,4.503105590062118,8.2500000000000018
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.0067867480216033949,100,100,0,3.400000000000003,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.0061519728302286136,41.799999999999997,33.800000000000004,7.9999999999999929,6.630616347215545,7.7000000000000011
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0059697646699408136,100,100,0,5.0000000000000044,0
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.0047402839750075865,35,16.400000000000002,18.599999999999998,12.745644599303136,18.75
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0045837924799083662,100,100,0,16.399999999999999,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.0030390590148854368,38,17.399999999999999,20.600000000000001,16.944948578342405,20
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0029184096706210694,100,100,0,16.599999999999998,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.0060307559920226295,39,37.200000000000003,1.7999999999999972,1.2489660876757624,2.899999999999995
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0058638677075640855,100,100,0,2.8000000000000025,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.0061373385129034341,41.799999999999997,33.800000000000004,7.9999999999999929,7.1090852467370684,7.7000000000000011
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0059552722766125221,100,100,0,5.2000000000000046,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0064011478879675288,39,29.399999999999999,9.6000000000000014,10.057561486132915,9.0499999999999972
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0072031289019482969,100,100,0,8.7999999999999972,0
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0049395984548926686,31.800000000000001,15.800000000000001,16,27.418199187962738,17.550000000000001
Base,Erdős–Rényi,LCF-original,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0055626526962359035,100,100,0,19.400000000000002,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0031495778444587952,33.200000000000003,17.800000000000001,15.400000000000002,23.047245160416946,17.600000000000001
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0036841473490505372,100,100,0,18.800000000000004,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.006353295247335855,35.799999999999997,31.600000000000001,4.1999999999999957,12.163213351248148,4.8500000000000032
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0070368180325239837,100,100,0,7.1999999999999957,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0063790892646050645,39,29.399999999999999,9.6000000000000014,10.057561486132915,9.0499999999999972
