dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Variant I,Base (80/20),LCF-active,True,0.0043780892190612205,0.00040829988788351762,15.800000000000001,2.6773120849090426,15.290000000000001,1.8345026573979117
Variant I,Base (80/20),LCF-original,False,0.0051783161613018882,0.0005064929555175918,0,0,0,0
Variant I,Base (80/20),LCF-original,True,0.0049720685660040956,0.00047096185729068787,16.360000000000003,2.4703036250631203,16.07,2.2375432956704997
Variant I,Erdős–Rényi,Baseline,False,0.0082367056822499445,0.00087404731330546607,0,0,0,0
Variant I,Erdős–Rényi,Baseline,True,0.0083934612449681374,0.00069211916672401626,3.3599999999999981,2.5279240494919946,2.9000000000000008,0.87692645073575015
Variant I,Erdős–Rényi,DP,False,0.0082604670660460181,0.00087425009564937321,0,0,0,0
Variant I,Erdős–Rényi,DP,True,0.008415585505544932,0.00069432403030466575,3.2799999999999985,2.381931988953506,2.8400000000000007,0.85052924699859689
Variant I,Erdős–Rényi,EO,False,0.0081168641559816509,0.0008777185040894607,0,0,0,0
Variant I,Erdős–Rényi,EO,True,0.0082502729584265962,0.00070881449007425277,2.3599999999999994,1.5147276983009175,2.3100000000000005,0.27820855486487128
Variant I,Erdős–Rényi,LCF-active,False,0.0044486797395583587,0.00044669476601961252,0,0,0,0
Variant I,Erdős–Rényi,LCF-active,True,0.0043431543721278668,0.00045152175858745433,15.440000000000001,2.0761502835777566,16.129999999999999,2.5490390346167739
Variant I,Erdős–Rényi,LCF-original,False,0.0060014389201972886,0.00055446866807841509,0,0,0,0
Variant I,Erdős–Rényi,LCF-original,True,0.0058359042581504596,0.00057134562554240001,16.120000000000001,1.7417232845661774,17.48,2.0877260356665581
Variant I,Watts–Strogatz,Baseline,False,0.0088069335715003968,0.00093817591679751765,0,0,0,0
Variant I,Watts–Strogatz,Baseline,True,0.0089729401976218707,0.00087530952266249651,2.6400000000000006,1.1412274094149704,2.4799999999999995,0.99126182212370106
Variant I,Watts–Strogatz,DP,False,0.008805861991217934,0.0009375339867851029,0,0,0,0
Variant I,Watts–Strogatz,DP,True,0.0089716158723893713,0.00087418080279439596,2.6400000000000006,1.1412274094149704,2.4799999999999995,0.99126182212370106
Variant I,Watts–Strogatz,EO,False,0.008624511615430052,0.00093567837612379542,0,0,0,0
Variant I,Watts–Strogatz,EO,True,0.0086229901460395109,0.00093692906141404982,3.1200000000000032,1.6079800993793438,2.4800000000000009,1.4027116596079188
Variant I,Watts–Strogatz,LCF-active,False,0.0046617312841432893,0.00045814179903372711,0,0,0,0
Variant I,Watts–Strogatz,LCF-active,True,0.004609938600166852,0.00051630181578528843,15.640000000000001,2.8855502074994273,16.089999999999996,3.5526609745372544
Variant I,Watts–Strogatz,LCF-original,False,0.0060570903100498844,0.00055928992160241507,0,0,0,0
Variant I,Watts–Strogatz,LCF-original,True,0.0059705112050697506,0.00069324555946779609,15.640000000000001,1.2986146464598347,16.73,2.7071387108901526
Variant II,Base (80/20),Baseline,False,0.0043815503446947403,0.00073522440262777111,0,0,0,0
Variant II,Base (80/20),Baseline,True,0.0044646052601413633,0.00091946233951038315,12.079999999999998,1.8093092604637837,10.540000000000003,2.0516822366048784
Variant II,Base (80/20),DP,False,0.0042846338628232282,0.00070583639992570241,0,0,0,0
Variant II,Base (80/20),DP,True,0.0042655242363670801,0.00089375695590998767,6.1200000000000001,1.6326665305566825,5.5400000000000018,1.9757024067404474
Variant II,Base (80/20),EO,False,0.0041239351207990049,0.00066985205004784789,0,0,0,0
Variant II,Base (80/20),EO,True,0.0040484695899253072,0.00083681615129862,1.9200000000000004,0.94318608980412677,2.8299999999999983,0.56267219586540873
Variant II,Base (80/20),LCF-active,False,0.0035158255022494254,0.00060845764083367353,0,0,0,0
