dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,False,5,0.0068284522906565392,100,100,0,0.60000000000000053
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,1,0.0064856270550558426,100,100,0,7.4000000000000066
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,2,0.0065535960540165084,81.599999999999994,70.399999999999991,11.200000000000003,3.275401069518713
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,3,0.0061752271972072004,63,52.600000000000001,10.399999999999999,0.88719898605830183
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,4,0.0060431090987910219,50.399999999999999,40.799999999999997,9.6000000000000014,-2.3342670401493959
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,5,0.0060638952673823798,38.600000000000001,31.800000000000001,6.8000000000000007,3.0208231498680238
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,1,0.0064856270550558426,100,100,0,7.4000000000000066
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,2,0.0065535960540165084,100,100,0,4.0000000000000036
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,3,0.0059681910752868994,100,100,0,3.8000000000000034
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,4,0.0062084285775632075,100,100,0,-5.0000000000000044
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,5,0.006941129896451903,100,100,0,3.8000000000000034
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,1,0.0064928992551834819,100,100,0,4.7999999999999936
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,2,0.0069798075743359167,80.800000000000011,75.799999999999997,5.0000000000000142,5.6506178322317746
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,3,0.0060174303048567968,63.399999999999999,53.800000000000004,9.5999999999999943,2.7112919681493541
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,4,0.0061190179672160339,50.600000000000001,41.399999999999999,9.2000000000000028,-0.35133948177425989
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,5,0.0062322281681969072,41.399999999999999,33.800000000000004,7.5999999999999943,8.255438355772803
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,1,0.0064928992551834819,100,100,0,4.7999999999999936
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,2,0.0069798075743359167,100,100,0,4.6000000000000041
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,3,0.0056287791828012468,100,100,0,3.8000000000000034
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,4,0.0059464919297866903,100,100,0,1.2000000000000011
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,5,0.006165643971589696,100,100,0,5.4000000000000048
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,True,1,0.0044450759887695312,100,100,0,12.6
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,True,2,0.0047611976541663825,80.200000000000003,64,16.200000000000003,13.161627182044894
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,True,3,0.0043084034780436209,61.199999999999996,38.800000000000004,22.399999999999991,8.7224580553870936
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,True,4,0.0043646014827863899,47.199999999999996,26.400000000000002,20.799999999999994,16.409861325115564
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,True,5,0.0044231037483399849,38.200000000000003,16.600000000000001,21.600000000000001,12.489749574213082
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,False,1,0.0044450759887695312,100,100,0,12.6
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,False,2,0.0047611976541663825,100,100,0,12.199999999999999
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,False,3,0.0040855227014349182,100,100,0,10.599999999999998
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,False,4,0.0043320215690711983,100,100,0,14.199999999999996
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,False,5,0.0043252266228164249,100,100,0,16.199999999999999
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,1,0.0043418407440185547,100,100,0,13.200000000000001
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,2,0.0045478505518798951,81.399999999999991,65.200000000000003,16.199999999999989,15.292202408766819
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,3,0.0039667678301725795,64,39.200000000000003,24.799999999999997,10.063775510204076
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,4,0.0040666267136491019,50.200000000000003,27.400000000000002,22.800000000000001,14.109983423968359
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,5,0.0042338057135606899,41.199999999999996,17.599999999999998,23.599999999999998,11.661518093556927
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,1,0.0043418407440185547,100,100,0,13.200000000000001
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,2,0.0045478505518798951,100,100,0,13.200000000000001
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,3,0.0037487399086414408,100,100,0,11.399999999999999
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,4,0.0040018769981662317,100,100,0,14.000000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,5,0.0040984531622111353,100,100,0,17
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,1,0.006424033030848042,100,100,0,0.80000000000000071
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,2,0.006879634900907039,79,76.799999999999997,2.2000000000000028,4.3499472573839686
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,3,0.0059294002587670924,61.600000000000001,54.800000000000004,6.7999999999999972,0.41947103990899182
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,4,0.0059392318667761401,49.200000000000003,43,6.2000000000000028,-0.25146530535072875
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,5,0.006086149768181448,40.400000000000006,35,5.4000000000000057,4.1669024045261622
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,1,0.006424033030848042,100,100,0,0.80000000000000071
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,2,0.006879634900907039,100,100,0,3.0000000000000027
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,3,0.0055212197611546054,100,100,0,1.4000000000000012
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,4,0.0058125079732839202,100,100,0,-0.40000000000000036
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,5,0.0060332759854242468,100,100,0,2.8000000000000025
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,1,0.0064856270550558426,100,100,0,4.7999999999999936
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,2,0.0069672985369090279,80.800000000000011,75.799999999999997,5.0000000000000142,5.6506178322317746
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,3,0.0059963178920832139,63.399999999999999,53.800000000000004,9.5999999999999943,2.7112919681493541
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,4,0.0060972210945380301,50.600000000000001,41.399999999999999,9.2000000000000028,-0.35133948177425989
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,5,0.0062310367907828512,41.399999999999999,33.800000000000004,7.5999999999999943,8.255438355772803
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,1,0.0064856270550558426,100,100,0,4.7999999999999936
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,2,0.0069672985369090279,100,100,0,4.6000000000000041
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,3,0.005605772135980458,100,100,0,3.8000000000000034
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,4,0.0059190512351899871,100,100,0,1.2000000000000011
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,5,0.0061482449437754161,100,100,0,5.4000000000000048
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,1,0.0064928992551834819,100,100,0,7.5999999999999961
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,2,0.0063125274052893143,82,73.400000000000006,8.5999999999999943,7.3715690835382546
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,3,0.0072841222506445646,63.800000000000004,50.799999999999997,13.000000000000007,3.4877693579838609
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,4,0.0062236010659040275,50.200000000000003,35,15.200000000000003,6.0147979510529304
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,5,0.0068471402868777176,40.200000000000003,26,14.200000000000003,6.8924607730577954
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,1,0.0064928992551834819,100,100,0,7.5999999999999961
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,2,0.0063125274052893143,100,100,0,9.5999999999999979
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,3,0.00713660664665694,100,100,0,1.4000000000000012
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,4,0.0063683731513330954,100,100,0,6.2000000000000055
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,5,0.0073864639340993632,100,100,0,9.1999999999999975
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,True,1,0.0044450759887695312,100,100,0,14.400000000000002
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,True,2,0.0046172735119403008,82.399999999999991,64,18.399999999999991,7.0388349514563071
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,True,3,0.0048871833061345793,57.199999999999996,39,18.199999999999996,10.629370629370621
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,True,4,0.0043911982121453974,43.600000000000001,23.200000000000003,20.399999999999999,13.192027839291359
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,True,5,0.0045763118476842557,32.600000000000001,16,16.600000000000001,25.030674846625768
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,False,1,0.0044450759887695312,100,100,0,14.400000000000002
