run_id,dataset,model,opt_out,seed,graph_seed,source,step,group,metric,statistic,value,unit,steps,enforce_demographic_mixing,k_same,k_other,directed,decision_coef,repayment_coef,eps,base_s0,base_s1,test_n,test_initialization_seed,n_seeds,seeds,std_ddof
20260917T140533_427046Z_29f7ca,Base,Baseline,True,7,7,diagnostic_unclipped_decision_labels,4,all,long_fairness,value,0.0010655591187086477,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,7,7,diagnostic_unclipped_decision_labels,5,all,accuracy,value,0.496,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,7,7,diagnostic_unclipped_decision_labels,5,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,7,7,diagnostic_unclipped_decision_labels,5,all,long_fairness,value,0.0012757156868415942,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,1,all,accuracy,value,0.66100000000000003,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,1,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,1,all,long_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,2,all,accuracy,value,0.59999999999999998,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,2,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,2,all,long_fairness,value,0.00033820834651931975,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,3,all,accuracy,value,0.54900000000000004,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,3,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,3,all,long_fairness,value,0.00019657355888902384,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,4,all,accuracy,value,0.51100000000000001,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,4,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,4,all,long_fairness,value,0.00077572439870643439,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,5,all,accuracy,value,0.501,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
20260917T140533_427046Z_29f7ca,Base,Baseline,True,13,13,diagnostic_unclipped_decision_labels,5,all,short_fairness,value,0,fraction,5,True,8,2,False,0.80000000000000004,0.80000000000000004,0.5,0,0,1000,2027,,,
