dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,1,0.0011422741246552848,100,100,0,1.0000000000000009
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,2,0.0011424394673873461,100,100,0,0.20000000000000018
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,3,0.0011427758312702041,100,100,0,-5.3999999999999932
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,4,0.0011425042886832326,100,100,0,2.9999999999999916
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,5,0.0011429128734443683,100,100,0,-5.9999999999999947
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,1,0.0022804378935982195,100,100,0,2.8000000000000025
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,2,0.0021574839946838509,100,99.599999999999994,0.40000000000000568,0.40562248995983374
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,3,0.0079488371653524403,100,99,1,0.61414141414141143
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,4,0.0078267750075352582,100,99,1,1.2202020202020214
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,5,0.0037090882419978932,99.599999999999994,98.599999999999994,1,1.8337039842941771
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,1,0.0022804378935982195,100,100,0,2.8000000000000025
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,2,0.0021574839946838509,100,100,0,0.40000000000000036
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,3,0.0020262520957031738,100,100,0,0.60000000000000053
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,4,0.0018981831268382043,100,100,0,1.2000000000000011
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,5,0.0017570289767590008,100,100,0,1.8000000000000016
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,1,0.0033942106962204788,100,100,0,13.600000000000001
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,2,0.0062011195421218801,100,90.799999999999997,9.2000000000000028,6.4281938325991161
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,3,0.0053058834075928596,100,88,12,3.2090909090909059
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,4,0.0065725153684615956,100,86,14,1.3953488372092981
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,5,0.0062834091186523278,100,85.399999999999991,14.600000000000009,1.4393442622950836
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,1,0.0033942106962204788,100,100,0,13.600000000000001
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,2,0.0022814109325408616,100,100,0,7.1999999999999957
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,3,0.0013348438739777535,100,100,0,4.8000000000000043
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,4,0.00075949013233178597,100,100,0,3.2000000000000028
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,5,0.00035835003852846548,100,100,0,3.2000000000000028
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,1,0.0033998594284058159,100,100,0,13.4
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,2,0.006193439245223975,100,90.799999999999997,9.2000000000000028,6.4281938325991161
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,3,0.005293380856513985,100,88,12,3.2090909090909059
