dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Base (80/20),DP,False,5,approval_rate_difference,-2.1999999999999971,3.548520818594695,5
Base,Base (80/20),DP,False,5,retention_disparity,0,0,5
Base,Base (80/20),DP,False,5,retention_s0,100,0,5
Base,Base (80/20),DP,False,5,retention_s1,100,0,5
Base,Base (80/20),DP,False,5,unfairness,0.0011426313800120935,5.0257300812018962e-07,5
Base,Base (80/20),DP,True,1,approval_rate_difference,0.52000000000000057,3.0895954427723988,5
Base,Base (80/20),DP,True,1,retention_disparity,0,0,5
Base,Base (80/20),DP,True,1,retention_s0,100,0,5
Base,Base (80/20),DP,True,1,retention_s1,100,0,5
Base,Base (80/20),DP,True,1,unfairness,0.0011422741246552848,0,5
Base,Base (80/20),DP,True,2,approval_rate_difference,-2.7689007879697791,1.7727811838709064,5
Base,Base (80/20),DP,True,2,retention_disparity,2.960000000000008,2.0135540717845193,5
Base,Base (80/20),DP,True,2,retention_s0,85.359999999999999,1.9734234213670447,5
Base,Base (80/20),DP,True,2,retention_s1,84.799999999999997,1.8547236990991471,5
Base,Base (80/20),DP,True,2,unfairness,0.020923882147256,0.014120293584092437,5
Base,Base (80/20),DP,True,3,approval_rate_difference,-1.4327062516062705,2.5139580865336715,5
Base,Base (80/20),DP,True,3,retention_disparity,3.0799999999999956,1.9291448882860003,5
Base,Base (80/20),DP,True,3,retention_s0,68.599999999999994,1.6395121225535347,5
Base,Base (80/20),DP,True,3,retention_s1,70.959999999999994,1.4388884598883938,5
Base,Base (80/20),DP,True,3,unfairness,0.020478404692280829,0.013525950448011663,5
Base,Base (80/20),DP,True,4,approval_rate_difference,-0.12813176730963605,3.9250535732107039,5
Base,Base (80/20),DP,True,4,retention_disparity,4.0399999999999974,1.571750616351077,5
Base,Base (80/20),DP,True,4,retention_s0,56.720000000000006,1.7092688495377162,5
Base,Base (80/20),DP,True,4,retention_s1,59.879999999999995,1.6809521111560584,5
Base,Base (80/20),DP,True,4,unfairness,0.026469193069642107,0.011104680413347588,5
Base,Base (80/20),DP,True,5,approval_rate_difference,-1.8700136178947147,5.415878745891523,5
Base,Base (80/20),DP,True,5,retention_disparity,3.4400000000000035,1.6989408465276252,5
Base,Base (80/20),DP,True,5,retention_s0,48.239999999999995,1.5460918472070149,5
Base,Base (80/20),DP,True,5,retention_s1,51.679999999999993,0.75471849056452978,5
Base,Base (80/20),DP,True,5,unfairness,0.021537422190218414,0.012020665734257616,5
Base,Base (80/20),EO,False,1,approval_rate_difference,0.40000000000000269,3.308171700501652,5
Base,Base (80/20),EO,False,1,retention_disparity,0,0,5
Base,Base (80/20),EO,False,1,retention_s0,100,0,5
Base,Base (80/20),EO,False,1,retention_s1,100,0,5
Base,Base (80/20),EO,False,1,unfairness,0.00062857209181632623,0,5
Base,Base (80/20),EO,False,2,approval_rate_difference,-2.1199999999999997,2.3752052542885633,5
Base,Base (80/20),EO,False,2,retention_disparity,0,0,5
Base,Base (80/20),EO,False,2,retention_s0,100,0,5
Base,Base (80/20),EO,False,2,retention_s1,100,0,5
Base,Base (80/20),EO,False,2,unfairness,0.00062862200042188563,1.1093760719908874e-07,5
Base,Base (80/20),EO,False,3,approval_rate_difference,-2.48,1.4119490075778216,5
Base,Base (80/20),EO,False,3,retention_disparity,0,0,5
Base,Base (80/20),EO,False,3,retention_s0,100,0,5
Base,Base (80/20),EO,False,3,retention_s1,100,0,5
Base,Base (80/20),EO,False,3,unfairness,0.0006286102808691574,7.5486893592801304e-08,5
Base,Base (80/20),EO,False,4,approval_rate_difference,-0.59999999999999598,2.8255972819918949,5
Base,Base (80/20),EO,False,4,retention_disparity,0,0,5
Base,Base (80/20),EO,False,4,retention_s0,100,0,5
Base,Base (80/20),EO,False,4,retention_s1,100,0,5
Base,Base (80/20),EO,False,4,unfairness,0.00062857887662910446,1.296874724636182e-07,5
Base,Base (80/20),EO,False,5,approval_rate_difference,-1.8799999999999994,3.6367018024578228,5
Base,Base (80/20),EO,False,5,retention_disparity,0,0,5
Base,Base (80/20),EO,False,5,retention_s0,100,0,5
Base,Base (80/20),EO,False,5,retention_s1,100,0,5
Base,Base (80/20),EO,False,5,unfairness,0.00062861435456902366,1.21375931219244e-07,5
Base,Base (80/20),EO,True,1,approval_rate_difference,0.40000000000000269,3.308171700501652,5
Base,Base (80/20),EO,True,1,retention_disparity,0,0,5
Base,Base (80/20),EO,True,1,retention_s0,100,0,5
Base,Base (80/20),EO,True,1,retention_s1,100,0,5
Base,Base (80/20),EO,True,1,unfairness,0.00062857209181632623,0,5
Base,Base (80/20),EO,True,2,approval_rate_difference,-2.9285687486414291,2.6885431235240218,5
Base,Base (80/20),EO,True,2,retention_disparity,3.3599999999999994,2.8993792439072221,5
Base,Base (80/20),EO,True,2,retention_s0,83.759999999999991,2.5405511213120673,5
Base,Base (80/20),EO,True,2,retention_s1,83.760000000000005,1.9815145722401346,5
Base,Base (80/20),EO,True,2,unfairness,0.022850576198289695,0.018976896166705757,5
Base,Base (80/20),EO,True,3,approval_rate_difference,-0.96682171506393466,1.7343616483048849,5
Base,Base (80/20),EO,True,3,retention_disparity,3.8799999999999981,2.1857721747702792,5
Base,Base (80/20),EO,True,3,retention_s0,65.240000000000009,1.9241621553289132,5
Base,Base (80/20),EO,True,3,retention_s1,67.599999999999994,1.8889150324988109,5
Base,Base (80/20),EO,True,3,unfairness,0.025706620750247756,0.014503408588572519,5
Base,Base (80/20),EO,True,4,approval_rate_difference,-0.95667408954604549,3.674980460058288,5
Base,Base (80/20),EO,True,4,retention_disparity,3.9599999999999982,1.2483589227461784,5
Base,Base (80/20),EO,True,4,retention_s0,52.760000000000005,1.1689311356961973,5
Base,Base (80/20),EO,True,4,retention_s1,55.760000000000005,1.9365949499056301,5
Base,Base (80/20),EO,True,4,unfairness,0.026024172438727365,0.0073026762525721291,5
Base,Base (80/20),EO,True,5,approval_rate_difference,-2.1651906624675172,6.2385327963269983,5
Base,Base (80/20),EO,True,5,retention_disparity,3.7999999999999985,2.0630075133164198,5
Base,Base (80/20),EO,True,5,retention_s0,43.359999999999999,1.1551623262554949,5
