run_id,dataset,model,opt_out,seed,graph_seed,source,step,group,metric,statistic,value,unit,steps,enforce_demographic_mixing,k_same,k_other,directed,decision_coef,repayment_coef,eps,base_s0,base_s1,test_n,test_initialization_seed,n_seeds,seeds,std_ddof,network,training_network,evaluation_network,n_valid_seeds,fairness_denominator_clip,decision_policy,fairness_policy
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,1,all,short_fairness,value,0.0080164275463953105,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,1,all,long_fairness,value,0.0022804378935982195,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,2,all,accuracy,value,0.98799999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,2,all,short_fairness,value,0.0074245581597609522,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,2,all,long_fairness,value,0.0021574839946838509,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,3,all,accuracy,value,0.98799999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,3,all,short_fairness,value,0.0068722490939957526,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,3,all,long_fairness,value,0.0079488371653524403,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,4,all,accuracy,value,0.99199999999999999,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
20260918T145630_180390Z_52d76d,Base,Baseline,True,7,7,diagnostic_direct_reference_policy_initial_cohort,4,all,short_fairness,value,0.0063604116517408382,fraction,5,True,8,2,False,1,1,0.5,0,0,1000,2027,,,,,,,,,Bernoulli(model_probability),"direct simulation; policy S=0 at all steps; terminal A*p(0,X)"
