dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Base,Watts–Strogatz,LCF-active,True,0.0051773701190948266,0.0036792476814895736,12,2.0435263639111709,10.529999999999998,2.0363202105759326
Base,Watts–Strogatz,LCF-full,False,0.00042312943935394196,0.00016072085863149302,0,0,0,0
Base,Watts–Strogatz,LCF-full,True,0.0047743231058120731,0.0029738825295298498,12.119999999999999,1.9041008376659097,10.629999999999999,1.9195311927655692
Variant I,Base (80/20),Baseline,False,0.0019606175446134078,5.0871962778688047e-05,0,0,0,0
Variant I,Base (80/20),Baseline,True,0.0086927559887038704,0.0034677307842827954,0.56000000000000227,0.40792156108742245,0.55000000000000004,0.3209361307176235
Variant I,Base (80/20),DP,False,0.0010137289866272159,4.1874074509873488e-07,0,0,0,0
Variant I,Base (80/20),DP,True,0.022850154431037096,0.015155555619633684,3.3200000000000029,2.1451340284467095,3.080000000000001,1.6536626016210199
Variant I,Base (80/20),EO,False,0.0005539982869579241,7.5932268954030004e-08,0,0,0,0
Variant I,Base (80/20),EO,True,0.020407175628809459,0.0058337277825488681,3.1599999999999993,1.0836973747315262,3.4499999999999984,2.3407263829845641
Variant I,Base (80/20),LCF-active,False,0.00017488021850586843,5.0448005204475769e-05,0,0,0,0
Variant I,Base (80/20),LCF-active,True,0.0052521518707275613,0.0046998033309961842,13.559999999999999,0.99919967974374391,12.27,1.0519505691808915
Variant I,Base (80/20),LCF-full,False,0.00017666916847227653,5.5285619429688217e-05,0,0,0,0
Variant I,Base (80/20),LCF-full,True,0.005250555896759046,0.0046960231374302162,13.6,1.0198039027185575,12.309999999999999,1.0711675872616768
Variant I,Erdős–Rényi,Baseline,False,0.0019476451839137709,4.9361877744329304e-05,0,0,0,0
Variant I,Erdős–Rényi,Baseline,True,0.0023657215914657526,0.0022504134255104816,0.20000000000000284,0.12649110640673697,0.23000000000000256,0.097979589711328363
Variant I,Erdős–Rényi,DP,False,0.0010086317697486802,4.1544277214105382e-07,0,0,0,0
Variant I,Erdős–Rényi,DP,True,0.020616129693212637,0.0093810982388840575,2.8400000000000021,1.0983624174196776,3.2100000000000009,0.95781000203589217
Variant I,Erdős–Rényi,EO,False,0.00055118219467875651,7.5235504957560755e-08,0,0,0,0
Variant I,Erdős–Rényi,EO,True,0.014092528992340859,0.0099022651872514751,1.9600000000000022,1.5094369811290562,2.4599999999999995,1.2741271522104847
Variant I,Erdős–Rényi,LCF-active,False,0.00017437615394593208,5.046179103330024e-05,0,0,0,0
Variant I,Erdős–Rényi,LCF-active,True,0.0036245556592941152,0.00071257051601160209,11.079999999999993,0.82559069762201664,9.7299999999999951,0.75006666370396935
Variant I,Erdős–Rényi,LCF-full,False,0.00026327514648436521,0.00011222462437048355,0,0,0,0
Variant I,Erdős–Rényi,LCF-full,True,0.0048180553197860517,0.0011763505747687561,12.759999999999996,0.98305645819556253,10.999999999999996,0.761577310586393
Variant I,Watts–Strogatz,Baseline,False,0.0019540586977761843,5.0375502428789773e-05,0,0,0,0
Variant I,Watts–Strogatz,Baseline,True,0.0078971142523368565,0.0024519476053271533,0.6799999999999955,0.24000000000000341,0.49999999999999856,0.23021728866442773
Variant I,Watts–Strogatz,DP,False,0.0010096348868291916,4.1640344652497392e-07,0,0,0,0
Variant I,Watts–Strogatz,DP,True,0.035311672162489705,0.025819646026748549,5.0000000000000018,3.368085509603338,4.0200000000000031,1.5907859692617359
Variant I,Watts–Strogatz,EO,False,0.00055173911428130218,7.5413507912444538e-08,0,0,0,0
Variant I,Watts–Strogatz,EO,True,0.027029069520158357,0.013713760068542332,3.7599999999999993,2.0372530525194921,3.1199999999999983,1.5583966119059667
Variant I,Watts–Strogatz,LCF-active,False,0.00017573745250702987,5.0930248909524226e-05,0,0,0,0
Variant I,Watts–Strogatz,LCF-active,True,0.0053100872278213588,0.0029227575728575828,11.16,1.2289833196589786,9.889999999999997,1.0234256201600598
Variant I,Watts–Strogatz,LCF-full,False,0.00028551497459412546,0.00013262887563123346,0,0,0,0
