dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,False,5,0.001828488161213504,100,100,0,-0.60000000000000053,0
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),99,99,True,5,0.005386296272277824,98.200000000000003,85.200000000000003,13,0.50055936433263115,12.25
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),99,99,False,5,0.00072970306873321178,100,100,0,1.6000000000000014,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),99,99,True,5,0.0053917865753173588,98.200000000000003,85.200000000000003,13,0.50055936433263115,12.25
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),99,99,False,5,0.00072258090972898703,100,100,0,1.6000000000000014,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),99,99,True,5,0.0016055717078194975,45.200000000000003,45.200000000000003,0,0,2.7499999999999982
Base,Base (80/20),EO,Base (80/20),Base (80/20),99,99,False,5,0.00062874285145120279,100,100,0,-4.1999999999999922,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),99,99,True,5,0.004964856210409152,50.399999999999999,51.399999999999999,1,-3.7227472052374755,2.2500000000000036
Base,Base (80/20),DP,Base (80/20),Base (80/20),99,99,False,5,0.0011426467469031198,100,100,0,-4.5999999999999925,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0037585513734957887,99.599999999999994,99,0.59999999999999432,1.4202263599853993,0.34999999999999432
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.0018085376944124709,100,100,0,1.4000000000000012,0
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0083291295766829698,100,84,16,0.4761904761904745,13.400000000000002
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.00036283242702483953,100,100,0,1.4000000000000012,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0083204659223556909,100,84,16,0.4761904761904745,13.400000000000002
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.00035299062728888497,100,100,0,1.4000000000000012,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0029280682108326905,47.199999999999996,47,0.19999999999999574,-8.3555715831229787,3.199999999999994
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.00063083989123835504,100,100,0,-6.399999999999995,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,2026,2026,True,5,0.0076299679584767577,52.600000000000001,51.600000000000001,1,-7.915524508503557,1.2999999999999972
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,2026,2026,False,5,0.001146803474258884,100,100,0,-5.9999999999999947,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.011649360658571806,100,97.799999999999997,2.2000000000000028,1.8584867075664646,1.5999999999999979
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0017549247862534978,100,100,0,1.8000000000000016,0
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.016219516634941145,100,87.799999999999997,12.200000000000003,1.1667425968109324,10.399999999999999
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.00036298716068272618,100,100,0,3.2000000000000028,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.01621340024471285,100,87.799999999999997,12.200000000000003,1.1667425968109324,10.399999999999999
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.00035371553897856067,100,100,0,3.2000000000000028,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.028924988593969636,45.200000000000003,49.600000000000001,4.3999999999999986,4.5496717099628885,4.1999999999999993
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.00063074086206249547,100,100,0,3.0000000000000027,0
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,7,7,True,5,0.021842967207334252,50.799999999999997,54,3.2000000000000028,1.9072615923009573,3.4000000000000075
Base,Erdős–Rényi,DP,Erdős–Rényi,Erdős–Rényi,7,7,False,5,0.0011465352478744473,100,100,0,1.9999999999999907,0
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0018153347347985571,100,99.200000000000003,0.79999999999999716,1.8177419354838742,0.40000000000000213
Base,Erdős–Rényi,Baseline,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.0018153347347985571,100,100,0,1.8000000000000016,0
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0023919445276260332,99.599999999999994,84.799999999999997,14.799999999999997,1.1792452830188704,13.649999999999999
Base,Erdős–Rényi,LCF-full,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.00029385638237000578,100,100,0,2.8000000000000025,0
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0023826355934143395,99.599999999999994,84.799999999999997,14.799999999999997,1.1792452830188704,13.649999999999999
Base,Erdős–Rényi,LCF-active,Erdős–Rényi,Erdős–Rényi,13,13,False,5,0.00028553462028513277,100,100,0,2.8000000000000025,0
Base,Erdős–Rényi,EO,Erdős–Rényi,Erdős–Rényi,13,13,True,5,0.0095586155800349015,44,43,1,-8.3932346723044393,1.4499999999999993
